query,score,job_titles
data scientist,90,Student at Westfield State University
data scientist,90,"Director of Human Resources North America, Groupe Beneteau"
data scientist,85,HR Senior Specialist
data scientist,85,HR Senior Specialist
data scientist,85,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
data scientist,85,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
data scientist,85,HR Senior Specialist
data scientist,85,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
data scientist,85,HR Senior Specialist
data scientist,85,HR Senior Specialist
machine learning engineer,5,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
machine learning engineer,5,Native English Teacher at EPIK (English Program in Korea)
machine learning engineer,5,Aspiring Human Resources Professional
machine learning engineer,5,People Development Coordinator at Ryan
machine learning engineer,5,Advisory Board Member at Celal Bayar University
machine learning engineer,5,Aspiring Human Resources Specialist
machine learning engineer,5,Student at Humber College and Aspiring Human Resources Generalist
machine learning engineer,5,HR Senior Specialist
machine learning engineer,5,Student at Humber College and Aspiring Human Resources Generalist
machine learning engineer,5,Seeking Human Resources HRIS and Generalist Positions
backend developer,0,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
backend developer,0,Native English Teacher at EPIK (English Program in Korea)
backend developer,0,Aspiring Human Resources Professional
backend developer,0,People Development Coordinator at Ryan
backend developer,0,Advisory Board Member at Celal Bayar University
backend developer,0,Aspiring Human Resources Specialist
backend developer,0,Student at Humber College and Aspiring Human Resources Generalist
backend developer,0,HR Senior Specialist
backend developer,0,Student at Humber College and Aspiring Human Resources Generalist
backend developer,0,Seeking Human Resources HRIS and Generalist Positions
product manager,5,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
product manager,5,Native English Teacher at EPIK (English Program in Korea)
product manager,5,Aspiring Human Resources Professional
product manager,5,People Development Coordinator at Ryan
product manager,5,Advisory Board Member at Celal Bayar University
product manager,5,Aspiring Human Resources Specialist
product manager,5,Student at Humber College and Aspiring Human Resources Generalist
product manager,5,HR Senior Specialist
product manager,5,Student at Humber College and Aspiring Human Resources Generalist
product manager,5,Seeking Human Resources HRIS and Generalist Positions
