query,score,job_titles
data scientist,70,Director Of Administration at Excellence Logging
data scientist,20,HR Senior Specialist
data scientist,20,Human Resources Coordinator at InterContinental Buckhead Atlanta
data scientist,20,HR Senior Specialist
data scientist,20,HR Senior Specialist
data scientist,20,Human Resources Coordinator at InterContinental Buckhead Atlanta
data scientist,20,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
data scientist,20,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
data scientist,20,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
data scientist,20,Human Resources Generalist at Schwan's
machine learning engineer,70,Business Intelligence and Analytics at Travelers
machine learning engineer,20,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
machine learning engineer,20,Senior Human Resources Business Partner at Heil Environmental
machine learning engineer,20,HR Manager at Endemol Shine North America
machine learning engineer,20,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
machine learning engineer,20,Human Resources Specialist at Luxottica
machine learning engineer,20,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
machine learning engineer,20,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources."
machine learning engineer,20,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
machine learning engineer,15,HR Senior Specialist
backend developer,15,HR Senior Specialist
backend developer,15,HR Senior Specialist
backend developer,15,Human Resources Coordinator at InterContinental Buckhead Atlanta
backend developer,15,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
backend developer,15,HR Senior Specialist
backend developer,15,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint"
backend developer,15,Business Intelligence and Analytics at Travelers
backend developer,15,Director Of Administration at Excellence Logging
backend developer,15,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment
backend developer,15,"Nortia Staffing is seeking Human Resources, Payroll & Administrative Professionals!!  (408) 709-2621"
product manager,25,People Development Coordinator at Ryan
product manager,25,HR Senior Specialist
product manager,25,HR Senior Specialist
product manager,25,People Development Coordinator at Ryan
product manager,25,People Development Coordinator at Ryan
product manager,25,People Development Coordinator at Ryan
product manager,25,Human Resources Coordinator at InterContinental Buckhead Atlanta
product manager,25,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
product manager,25,HR Senior Specialist
product manager,25,People Development Coordinator at Ryan
