query,score,job_titles
data scientist,70,Business Intelligence and Analytics at Travelers
data scientist,55,Undergraduate Research Assistant at Styczynski Lab
data scientist,40,Information Systems Specialist and Programmer with a love for data and organization.
data scientist,10,Junior MES Engineer| Information Systems
data scientist,10,Student
data scientist,0,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
data scientist,0,Aspiring Human Resources Professional
data scientist,0,Native English Teacher at EPIK (English Program in Korea)
data scientist,0,Student at Humber College and Aspiring Human Resources Generalist
data scientist,0,Seeking Human Resources HRIS and Generalist Positions
machine learning engineer,55,Undergraduate Research Assistant at Styczynski Lab
machine learning engineer,40,Business Intelligence and Analytics at Travelers
machine learning engineer,15,Junior MES Engineer| Information Systems
machine learning engineer,10,Information Systems Specialist and Programmer with a love for data and organization.
machine learning engineer,0,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
machine learning engineer,0,Native English Teacher at EPIK (English Program in Korea)
machine learning engineer,0,Aspiring Human Resources Professional
machine learning engineer,0,People Development Coordinator at Ryan
machine learning engineer,0,Student at Humber College and Aspiring Human Resources Generalist
machine learning engineer,0,Seeking Human Resources HRIS and Generalist Positions
backend developer,40,Junior MES Engineer| Information Systems
backend developer,40,Information Systems Specialist and Programmer with a love for data and organization.
backend developer,20,Undergraduate Research Assistant at Styczynski Lab
backend developer,0,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
backend developer,0,Advisory Board Member at Celal Bayar University
backend developer,0,Native English Teacher at EPIK (English Program in Korea)
backend developer,0,Aspiring Human Resources Professional
backend developer,0,People Development Coordinator at Ryan
backend developer,0,Student at Humber College and Aspiring Human Resources Generalist
backend developer,0,Seeking Human Resources HRIS and Generalist Positions
product manager,40,RRP Brand Portfolio Executive at JTI (Japan Tobacco International)
product manager,40,Business Intelligence and Analytics at Travelers
product manager,35,Undergraduate Research Assistant at Styczynski Lab
product manager,35,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint"
product manager,10,Director Of Administration at Excellence Logging
product manager,10,Junior MES Engineer| Information Systems
product manager,10,Business Management Major and Aspiring Human Resources Manager
product manager,10,Experienced Retail Manager and aspiring Human Resources Professional
product manager,10,Information Systems Specialist and Programmer with a love for data and organization.
product manager,0,Student at Humber College and Aspiring Human Resources Generalist
