query,score,job_titles
data scientist,80,Information Systems Specialist and Programmer with a love for data and organization.
data scientist,60,Junior MES Engineer| Information Systems
data scientist,7,HR Senior Specialist
data scientist,6,Human Resources Specialist at Luxottica
data scientist,5,Human Resources Professional
data scientist,4,Student
data scientist,3,"Human Resources Generalist at ScottMadden, Inc."
data scientist,2,Human Resources professional for the world leader in GIS software
data scientist,1,Liberal Arts Major. Aspiring Human Resources Analyst.
data scientist,0,Aspiring Human Resources Specialist
machine learning engineer,75,Junior MES Engineer| Information Systems
machine learning engineer,65,Information Systems Specialist and Programmer with a love for data and organization.
machine learning engineer,10,Aspiring Human Resources Specialist
machine learning engineer,8,Director Human Resources  at EY
machine learning engineer,7,HR Senior Specialist
machine learning engineer,5,Human Resources professional for the world leader in GIS software
machine learning engineer,3,Human Resources Generalist at Loparex
machine learning engineer,2,Human Resources Generalist at Schwan's
machine learning engineer,1,Human Resources Management Major
machine learning engineer,0,Human Resources Professional
backend developer,65,Information Systems Specialist and Programmer with a love for data and organization.
backend developer,45,Junior MES Engineer| Information Systems
backend developer,15,HR Senior Specialist
backend developer,12,Human Resources Generalist at Loparex
backend developer,8,Aspiring Human Resources Specialist
backend developer,7,Senior Human Resources Business Partner at Heil Environmental
backend developer,5,Human Resources professional for the world leader in GIS software
backend developer,3,"Human Resources Generalist at ScottMadden, Inc."
backend developer,2,Human Resources Specialist at Luxottica
backend developer,0,Human Resources Professional
product manager,85,RRP Brand Portfolio Executive at JTI (Japan Tobacco International)
product manager,50,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
product manager,45,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint"
product manager,35,Director Of Administration at Excellence Logging
product manager,30,Director Human Resources  at EY
product manager,20,HR Manager at Endemol Shine North America
product manager,15,Senior Human Resources Business Partner at Heil Environmental
product manager,10,Human Resources Generalist at Schwan's
product manager,5,"Human Resources Generalist at ScottMadden, Inc."
product manager,0,Human Resources Professional
