query,score,job_titles
data scientist,6,Human Resources Management Major
data scientist,6,"Human Resources Generalist at ScottMadden, Inc."
data scientist,5,Junior MES Engineer| Information Systems
data scientist,5,Director Human Resources  at EY
data scientist,5,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources."
data scientist,5,Business Management Major and Aspiring Human Resources Manager
data scientist,5,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment
data scientist,5,Human Resources Professional
data scientist,5,RRP Brand Portfolio Executive at JTI (Japan Tobacco International)
data scientist,5,Liberal Arts Major. Aspiring Human Resources Analyst.
machine learning engineer,6,Human Resources Specialist at Luxottica
machine learning engineer,5,"Aspiring Human Resources Manager, seeking internship in Human Resources."
machine learning engineer,5,"Nortia Staffing is seeking Human Resources, Payroll & Administrative Professionals!!  (408) 709-2621"
machine learning engineer,5,Human Resources Professional
machine learning engineer,5,"Human Resources, Staffing and Recruiting Professional"
machine learning engineer,5,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources."
machine learning engineer,5,"Human Resources Generalist at ScottMadden, Inc."
machine learning engineer,5,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment
machine learning engineer,4,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
machine learning engineer,4,Business Management Major and Aspiring Human Resources Manager
backend developer,7,Seeking Human Resources HRIS and Generalist Positions
backend developer,6,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
backend developer,6,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
backend developer,6,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
backend developer,6,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
backend developer,6,HR Senior Specialist
backend developer,6,Human Resources Specialist at Luxottica
backend developer,5,HR Senior Specialist
backend developer,5,Seeking Human Resources HRIS and Generalist Positions
backend developer,5,Native English Teacher at EPIK (English Program in Korea)
product manager,40,"Director of Human Resources North America, Groupe Beneteau"
product manager,39,Human Resources Specialist at Luxottica
product manager,38,Experienced Retail Manager and aspiring Human Resources Professional
product manager,37,"Human Resources, Staffing and Recruiting Professional"
product manager,36,Human Resources Coordinator at InterContinental Buckhead Atlanta
product manager,35,Seeking Human Resources HRIS and Generalist Positions
product manager,34,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
product manager,33,HR Senior Specialist
product manager,32,Student at Chapman University
product manager,31,Aspiring Human Resources Professional
