query,score,job_titles
data scientist,15,"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation"
data scientist,12,Human Resources Generalist at Schwan's
data scientist,11,Director Human Resources  at EY
data scientist,9,Liberal Arts Major. Aspiring Human Resources Analyst.
data scientist,8,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
data scientist,8,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
data scientist,8,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
data scientist,8,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
data scientist,7,"Human Resources, Staffing and Recruiting Professional"
data scientist,7,RRP Brand Portfolio Executive at JTI (Japan Tobacco International)
machine learning engineer,6,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
machine learning engineer,6,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
machine learning engineer,6,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
machine learning engineer,6,Aspiring Human Resources Professional
machine learning engineer,6,"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation"
machine learning engineer,6,HR Senior Specialist
machine learning engineer,5,HR Senior Specialist
machine learning engineer,5,HR Senior Specialist
machine learning engineer,5,Native English Teacher at EPIK (English Program in Korea)
machine learning engineer,5,Aspiring Human Resources Specialist
backend developer,6,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
backend developer,6,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources."
backend developer,6,Human Resources Coordinator at InterContinental Buckhead Atlanta
backend developer,6,Human Resources Coordinator at InterContinental Buckhead Atlanta
backend developer,6,Seeking Human Resources HRIS and Generalist Positions
backend developer,5,HR Senior Specialist
backend developer,5,Seeking Human Resources Opportunities
backend developer,5,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
backend developer,5,Aspiring Human Resources Management student seeking an internship
backend developer,5,Student at Humber College and Aspiring Human Resources Generalist
product manager,49,Human Resources Management Major
product manager,48,Information Systems Specialist and Programmer with a love for data and organization.
product manager,47,Bachelor of Science in Biology from Victoria University of Wellington
product manager,46,RRP Brand Portfolio Executive at JTI (Japan Tobacco International)
product manager,45,HR Manager at Endemol Shine North America
product manager,44,Human Resources professional for the world leader in GIS software
product manager,43,Aspiring Human Resources Professional | An energetic and Team-Focused Leader
product manager,42,Junior MES Engineer| Information Systems
product manager,41,Senior Human Resources Business Partner at Heil Environmental
product manager,40,Liberal Arts Major. Aspiring Human Resources Analyst.
