query,score,job_titles
data scientist,60,Business Intelligence and Analytics at Travelers
data scientist,55,Undergraduate Research Assistant at Styczynski Lab
data scientist,40,Junior MES Engineer| Information Systems
data scientist,40,Information Systems Specialist and Programmer with a love for data and organization.
data scientist,10,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
data scientist,10,Advisory Board Member at Celal Bayar University
data scientist,10,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
data scientist,10,Student at Chapman University
data scientist,10,Student at Chapman University
data scientist,10,Student at Chapman University
machine learning engineer,55,Undergraduate Research Assistant at Styczynski Lab
machine learning engineer,40,Business Intelligence and Analytics at Travelers
machine learning engineer,40,Information Systems Specialist and Programmer with a love for data and organization.
machine learning engineer,40,Junior MES Engineer| Information Systems
machine learning engineer,10,Student at Chapman University
machine learning engineer,10,Student at Chapman University
machine learning engineer,10,Advisory Board Member at Celal Bayar University
machine learning engineer,10,Student at Chapman University
machine learning engineer,10,Student at Chapman University
machine learning engineer,10,Student at Westfield State University
backend developer,40,Junior MES Engineer| Information Systems
backend developer,40,Information Systems Specialist and Programmer with a love for data and organization.
backend developer,40,Business Intelligence and Analytics at Travelers
backend developer,40,Undergraduate Research Assistant at Styczynski Lab
backend developer,10,Student at Chapman University
backend developer,10,Experienced Retail Manager and aspiring Human Resources Professional
backend developer,10,Student at Chapman University
backend developer,10,Student at Chapman University
backend developer,10,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint"
backend developer,10,Student at Westfield State University
product manager,60,Business Intelligence and Analytics at Travelers
product manager,40,Undergraduate Research Assistant at Styczynski Lab
product manager,40,Information Systems Specialist and Programmer with a love for data and organization.
product manager,40,Junior MES Engineer| Information Systems
product manager,35,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint"
product manager,30,RRP Brand Portfolio Executive at JTI (Japan Tobacco International)
product manager,20,Director Of Administration at Excellence Logging
product manager,20,Experienced Retail Manager and aspiring Human Resources Professional
product manager,10,Student at Humber College and Aspiring Human Resources Generalist
product manager,10,Advisory Board Member at Celal Bayar University
