query,score,job_titles
data scientist,75,Business Intelligence and Analytics at Travelers
data scientist,60,Information Systems Specialist and Programmer with a love for data and organization.
data scientist,55,Undergraduate Research Assistant at Styczynski Lab
data scientist,45,Junior MES Engineer| Information Systems
data scientist,0,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
data scientist,0,Native English Teacher at EPIK (English Program in Korea)
data scientist,0,Aspiring Human Resources Professional
data scientist,0,People Development Coordinator at Ryan
data scientist,0,Student at Humber College and Aspiring Human Resources Generalist
data scientist,0,Seeking Human Resources HRIS and Generalist Positions
machine learning engineer,55,Undergraduate Research Assistant at Styczynski Lab
machine learning engineer,50,Business Intelligence and Analytics at Travelers
machine learning engineer,45,Information Systems Specialist and Programmer with a love for data and organization.
machine learning engineer,40,Junior MES Engineer| Information Systems
machine learning engineer,0,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
machine learning engineer,0,Native English Teacher at EPIK (English Program in Korea)
machine learning engineer,0,Aspiring Human Resources Professional
machine learning engineer,0,People Development Coordinator at Ryan
machine learning engineer,0,Student at Humber College and Aspiring Human Resources Generalist
machine learning engineer,0,Seeking Human Resources HRIS and Generalist Positions
backend developer,70,Information Systems Specialist and Programmer with a love for data and organization.
backend developer,55,Junior MES Engineer| Information Systems
backend developer,55,Undergraduate Research Assistant at Styczynski Lab
backend developer,45,Business Intelligence and Analytics at Travelers
backend developer,5,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint"
backend developer,0,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
backend developer,0,Aspiring Human Resources Professional
backend developer,0,Native English Teacher at EPIK (English Program in Korea)
backend developer,0,Student at Humber College and Aspiring Human Resources Generalist
backend developer,0,Seeking Human Resources HRIS and Generalist Positions
product manager,80,RRP Brand Portfolio Executive at JTI (Japan Tobacco International)
product manager,45,Business Intelligence and Analytics at Travelers
product manager,30,Director Of Administration at Excellence Logging
product manager,25,Experienced Retail Manager and aspiring Human Resources Professional
product manager,25,People Development Coordinator at Ryan
product manager,25,Undergraduate Research Assistant at Styczynski Lab
product manager,25,Junior MES Engineer| Information Systems
product manager,20,Admissions Representative at Community medical center long beach
product manager,20,Senior Human Resources Business Partner at Heil Environmental
product manager,15,People Development Coordinator at Ryan
