query,score,job_titles
data scientist,8,People Development Coordinator at Ryan
data scientist,7,Aspiring Human Resources Professional
data scientist,6,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
data scientist,6,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
data scientist,6,Seeking Human Resources HRIS and Generalist Positions
data scientist,6,Native English Teacher at EPIK (English Program in Korea)
data scientist,6,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
data scientist,5,Student at Humber College and Aspiring Human Resources Generalist
data scientist,5,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
data scientist,5,Student at Humber College and Aspiring Human Resources Generalist
machine learning engineer,9,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources."
machine learning engineer,8,"Director of Human Resources North America, Groupe Beneteau"
machine learning engineer,7,Human Resources Specialist at Luxottica
machine learning engineer,6,Aspiring Human Resources Professional
machine learning engineer,6,People Development Coordinator at Ryan
machine learning engineer,6,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
machine learning engineer,6,"Human Resources, Staffing and Recruiting Professional"
machine learning engineer,6,Student at Chapman University
machine learning engineer,5,Aspiring Human Resources Management student seeking an internship
machine learning engineer,5,People Development Coordinator at Ryan
backend developer,8,Human Resources Specialist at Luxottica
backend developer,7,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
backend developer,7,"Director of Human Resources North America, Groupe Beneteau"
backend developer,6,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
backend developer,6,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
backend developer,6,"Human Resources, Staffing and Recruiting Professional"
backend developer,6,Student at Chapman University
backend developer,6,Aspiring Human Resources Specialist
backend developer,6,Human Resources Coordinator at InterContinental Buckhead Atlanta
backend developer,5,HR Senior Specialist
product manager,32,Human Resources professional for the world leader in GIS software
product manager,31,HR Manager at Endemol Shine North America
product manager,30,Aspiring Human Resources Professional | An energetic and Team-Focused Leader
product manager,29,Senior Human Resources Business Partner at Heil Environmental
product manager,28,Junior MES Engineer| Information Systems
product manager,27,Liberal Arts Major. Aspiring Human Resources Analyst.
product manager,26,Human Resources Generalist at Schwan's
product manager,25,"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation"
product manager,24,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment
product manager,23,"Nortia Staffing is seeking Human Resources, Payroll & Administrative Professionals!!  (408) 709-2621"
